category,image_idx,dino_hit,dino_norm_dist,dino_smoothness,dino_coherence,dino_spread,sam_hit,sam_norm_dist,sam_smoothness,sam_coherence,sam_spread,radio_hit,radio_norm_dist,radio_smoothness,radio_coherence,radio_spread
backpack,00,True,0.022492047107281057,0.15033424,0.6057692307692307,2.335766423357664,True,0.07826607954172045,0.12463656,0.8998505231689088,1.7951219512195122,True,0.18325356697351206,0.17534174,0.9937106918238994,2.4466019417475726
backpack,01,True,0.046849142546299426,0.14938037,1.0,2.0802919708029197,True,0.161351742241655,0.13247207,0.9492753623188406,1.6634146341463414,True,0.11686176743102845,0.1698243,1.0,2.3106796116504853
backpack,02,True,0.16039452631841616,0.1703418,0.14285714285714285,3.9854014598540144,True,0.13345852031501435,0.12527901,0.5885885885885885,2.5682926829268293,True,0.26008532062610135,0.17300636,0.7448275862068966,4.12621359223301
backpack,03,True,0.16617292455769958,0.1637249,0.25,3.6496350364963503,False,0.4489847514819118,0.17317846,0.622568093385214,2.6341463414634148,True,0.3760474893178895,0.19772512,0.9615384615384616,3.466019417475728
backpack,04,True,0.1916567364225355,0.14509407,0.3023255813953488,1.7664233576642336,False,0.3448522138871227,0.18598703,0.7963483146067416,1.5341463414634147,False,0.31667128344115514,0.1721212,1.0,2.029126213592233
backpack,05,False,0.32765095323800986,0.15248825,0.35,2.627737226277372,False,0.2421310556514112,0.17991959,0.9963235294117647,2.2829268292682925,False,0.3822979296315956,0.18363765,0.9815950920245399,2.9902912621359223
backpack_dog,00,True,0.24473043889751123,0.13317294,0.48,2.4817518248175183,True,0.2461911750537388,0.14493044,0.9421052631578948,2.1731707317073172,True,0.21379160718651724,0.15820296,0.5974025974025974,2.3106796116504853
backpack_dog,01,True,0.11761556742293404,0.15035884,0.5,2.605839416058394,True,0.2393504560597202,0.13768566,0.9928571428571429,2.2829268292682925,True,0.12905316481648038,0.16563967,0.9894736842105263,2.5825242718446604
backpack_dog,02,True,0.11345101106020773,0.15041904,0.5294117647058824,3.153284671532847,True,0.2317478023091104,0.14232437,0.4457236842105263,3.024390243902439,True,0.09081254136227922,0.16653875,0.5909090909090909,3.203883495145631
backpack_dog,03,True,0.21675159170008826,0.13919042,0.45,2.0802919708029197,True,0.0815424754737458,0.17799798,0.5517241379310345,4.375609756097561,True,0.2132377504957427,0.19489434,0.8235294117647058,2.0194174757281553
